product,period,forecast_type,adopted,method,value
Implanon,2024-08-01,Main,Consumption Excel,Service Excel,28505
Implanon,2024-08-01,Main,Consumption Excel,Service AI,33522
Implanon,2024-08-01,Main,Consumption Excel,Consumption Excel,34103
Implanon,2024-08-01,Main,Consumption Excel,Consumption AI,29073
Implanon,2024-08-01,Main,Consumption Excel,Demographic,28113
Implanon,2024-08-01,Main,Consumption Excel,Consumption LMIS,NA
Implanon,2024-09-01,Main,Consumption Excel,Actual Consumption,26130
Implanon,2024-09-01,Main,Consumption Excel,Service Excel,28505
Implanon,2024-09-01,Main,Consumption Excel,Service AI,33522
Implanon,2024-09-01,Main,Consumption Excel,Consumption Excel,34103
Implanon,2024-09-01,Main,Consumption Excel,Consumption AI,29073
Implanon,2024-09-01,Main,Consumption Excel,Demographic,28113
Implanon,2024-09-01,Main,Consumption Excel,Consumption LMIS,NA
Implanon,2024-10-01,Main,Consumption Excel,Actual Consumption,27074
Implanon,2024-10-01,Main,Consumption Excel,Service Excel,28505
Implanon,2024-10-01,Main,Consumption Excel,Service AI,33522
Implanon,2024-10-01,Main,Consumption Excel,Consumption Excel,34103
Implanon,2024-10-01,Main,Consumption Excel,Consumption AI,29073
Implanon,2024-10-01,Main,Consumption Excel,Demographic,28113
Implanon,2024-10-01,Main,Consumption Excel,Consumption LMIS,NA
Implanon,2024-11-01,Main,Consumption Excel,Actual Consumption,29744
Implanon,2024-11-01,Main,Consumption Excel,Service Excel,28505
Implanon,2024-11-01,Main,Consumption Excel,Service AI,33522
Implanon,2024-11-01,Main,Consumption Excel,Consumption Excel,34103
Implanon,2024-11-01,Main,Consumption Excel,Consumption AI,29073
Implanon,2024-11-01,Main,Consumption Excel,Demographic,28113
Implanon,2024-11-01,Main,Consumption Excel,Consumption LMIS,NA
Implanon,2024-12-01,Main,Consumption Excel,Actual Consumption,25247
Implanon,2024-12-01,Main,Consumption Excel,Service Excel,28505
Implanon,2024-12-01,Main,Consumption Excel,Service AI,33522
Implanon,2024-12-01,Main,Consumption Excel,Consumption Excel,34103
Implanon,2024-12-01,Main,Consumption Excel,Consumption AI,29073
Implanon,2024-12-01,Main,Consumption Excel,Demographic,28113
Implanon,2024-12-01,Main,Consumption Excel,Consumption LMIS,NA
Implanon,2025-01-01,Main,Consumption Excel,Actual Consumption,25682
