product,period,forecast_type,adopted,method,value
DMPA-IM,2023-09-01,Main,Demographic,Actual Consumption,206618
DMPA-IM,2023-09-01,Main,Demographic,Service Excel,217170
DMPA-IM,2023-09-01,Main,Demographic,Service AI,231246
DMPA-IM,2023-09-01,Main,Demographic,Consumption Excel,208037
DMPA-IM,2023-09-01,Main,Demographic,Consumption AI,228703
DMPA-IM,2023-09-01,Main,Demographic,Demographic,287552
DMPA-IM,2023-09-01,Main,Demographic,Consumption LMIS,NA
DMPA-IM,2023-10-01,Main,Demographic,Actual Consumption,192611
DMPA-IM,2023-10-01,Main,Demographic,Service Excel,217170
DMPA-IM,2023-10-01,Main,Demographic,Service AI,240201
DMPA-IM,2023-10-01,Main,Demographic,Consumption Excel,208037
DMPA-IM,2023-10-01,Main,Demographic,Consumption AI,229505
DMPA-IM,2023-10-01,Main,Demographic,Demographic,287552
DMPA-IM,2023-10-01,Main,Demographic,Consumption LMIS,NA
DMPA-IM,2023-11-01,Main,Demographic,Actual Consumption,200081
DMPA-IM,2023-11-01,Main,Demographic,Service Excel,217170
DMPA-IM,2023-11-01,Main,Demographic,Service AI,246518
DMPA-IM,2023-11-01,Main,Demographic,Consumption Excel,208037
DMPA-IM,2023-11-01,Main,Demographic,Consumption AI,230333
DMPA-IM,2023-11-01,Main,Demographic,Demographic,287552
DMPA-IM,2023-11-01,Main,Demographic,Consumption LMIS,NA
DMPA-IM,2023-12-01,Main,Demographic,Actual Consumption,202906
DMPA-IM,2023-12-01,Main,Demographic,Service Excel,217170
DMPA-IM,2023-12-01,Main,Demographic,Service AI,247744
DMPA-IM,2023-12-01,Main,Demographic,Consumption Excel,208037
DMPA-IM,2023-12-01,Main,Demographic,Consumption AI,231162
DMPA-IM,2023-12-01,Main,Demographic,Demographic,287552
DMPA-IM,2023-12-01,Main,Demographic,Consumption LMIS,NA
DMPA-IM,2024-01-01,Main,Demographic,Actual Consumption,217289
DMPA-IM,2024-01-01,Main,Demographic,Service Excel,217170
DMPA-IM,2024-01-01,Main,Demographic,Service AI,259281
DMPA-IM,2024-01-01,Main,Demographic,Consumption Excel,208037
DMPA-IM,2024-01-01,Main,Demographic,Consumption AI,231963
DMPA-IM,2024-01-01,Main,Demographic,Demographic,287552
DMPA-IM,2024-01-01,Main,Demographic,Consumption LMIS,NA
DMPA-IM,2024-02-01,Main,Demographic,Actual Consumption,191762
DMPA-IM,2024-02-01,Main,Demographic,Service Excel,217170
DMPA-IM,2024-02-01,Main,Demographic,Service AI,264568
DMPA-IM,2024-02-01,Main,Demographic,Consumption Excel,208037
DMPA-IM,2024-02-01,Main,Demographic,Consumption AI,232791
DMPA-IM,2024-02-01,Main,Demographic,Demographic,287552
DMPA-IM,2024-02-01,Main,Demographic,Consumption LMIS,NA
DMPA-IM,2024-03-01,Main,Demographic,Actual Consumption,207029
DMPA-IM,2024-03-01,Main,Demographic,Service Excel,217170
DMPA-IM,2024-03-01,Main,Demographic,Service AI,268515
DMPA-IM,2024-03-01,Main,Demographic,Consumption Excel,208037
DMPA-IM,2024-03-01,Main,Demographic,Consumption AI,233593
DMPA-IM,2024-03-01,Main,Demographic,Demographic,287552
DMPA-IM,2024-03-01,Main,Demographic,Consumption LMIS,NA
DMPA-IM,2024-04-01,Main,Demographic,Actual Consumption,200364
DMPA-IM,2024-04-01,Main,Demographic,Service Excel,217170
DMPA-IM,2024-04-01,Main,Demographic,Service AI,274568
DMPA-IM,2024-04-01,Main,Demographic,Consumption Excel,208037
DMPA-IM,2024-04-01,Main,Demographic,Consumption AI,234421
DMPA-IM,2024-04-01,Main,Demographic,Demographic,287552
DMPA-IM,2024-04-01,Main,Demographic,Consumption LMIS,NA
DMPA-IM,2024-05-01,Main,Demographic,Actual Consumption,220112
DMPA-IM,2024-05-01,Main,Demographic,Service Excel,217170
DMPA-IM,2024-05-01,Main,Demographic,Service AI,279460
DMPA-IM,2024-05-01,Main,Demographic,Consumption Excel,208037
DMPA-IM,2024-05-01,Main,Demographic,Consumption AI,235249
DMPA-IM,2024-05-01,Main,Demographic,Demographic,287552
DMPA-IM,2024-05-01,Main,Demographic,Consumption LMIS,NA
DMPA-IM,2024-06-01,Main,Demographic,Actual Consumption,212825
DMPA-IM,2024-06-01,Main,Demographic,Service Excel,217170
DMPA-IM,2024-06-01,Main,Demographic,Service AI,287913
DMPA-IM,2024-06-01,Main,Demographic,Consumption Excel,208037
DMPA-IM,2024-06-01,Main,Demographic,Consumption AI,236024
DMPA-IM,2024-06-01,Main,Demographic,Demographic,287552
DMPA-IM,2024-06-01,Main,Demographic,Consumption LMIS,NA
DMPA-IM,2024-07-01,Main,Consumption AI,Actual Consumption,228424
DMPA-IM,2024-07-01,Main,Consumption AI,Service Excel,214937
DMPA-IM,2024-07-01,Main,Consumption AI,Service AI,212123
DMPA-IM,2024-07-01,Main,Consumption AI,Consumption Excel,210286
DMPA-IM,2024-07-01,Main,Consumption AI,Consumption AI,201541
DMPA-IM,2024-07-01,Main,Consumption AI,Demographic,285857
DMPA-IM,2024-07-01,Main,Consumption AI,Consumption LMIS,NA
DMPA-IM,2024-08-01,Main,Consumption AI,Actual Consumption,216668
DMPA-IM,2024-08-01,Main,Consumption AI,Service Excel,214937
DMPA-IM,2024-08-01,Main,Consumption AI,Service AI,212123
DMPA-IM,2024-08-01,Main,Consumption AI,Consumption Excel,210286
DMPA-IM,2024-08-01,Main,Consumption AI,Consumption AI,201541
DMPA-IM,2024-08-01,Main,Consumption AI,Demographic,285857
DMPA-IM,2024-08-01,Main,Consumption AI,Consumption LMIS,NA
DMPA-IM,2024-09-01,Main,Consumption AI,Actual Consumption,210510
DMPA-IM,2024-09-01,Main,Consumption AI,Service Excel,214937
DMPA-IM,2024-09-01,Main,Consumption AI,Service AI,212123
DMPA-IM,2024-09-01,Main,Consumption AI,Consumption Excel,210286
DMPA-IM,2024-09-01,Main,Consumption AI,Consumption AI,201541
DMPA-IM,2024-09-01,Main,Consumption AI,Demographic,285857
DMPA-IM,2024-09-01,Main,Consumption AI,Consumption LMIS,NA
DMPA-IM,2024-10-01,Main,Consumption AI,Actual Consumption,218819
DMPA-IM,2024-10-01,Main,Consumption AI,Service Excel,214937
DMPA-IM,2024-10-01,Main,Consumption AI,Service AI,212123
DMPA-IM,2024-10-01,Main,Consumption AI,Consumption Excel,210286
DMPA-IM,2024-10-01,Main,Consumption AI,Consumption AI,201541
DMPA-IM,2024-10-01,Main,Consumption AI,Demographic,285857
DMPA-IM,2024-10-01,Main,Consumption AI,Consumption LMIS,NA
DMPA-IM,2024-11-01,Main,Consumption AI,Actual Consumption,207141
DMPA-IM,2024-11-01,Main,Consumption AI,Service Excel,214937
DMPA-IM,2024-11-01,Main,Consumption AI,Service AI,212123
DMPA-IM,2024-11-01,Main,Consumption AI,Consumption Excel,210286
DMPA-IM,2024-11-01,Main,Consumption AI,Consumption AI,201541
DMPA-IM,2024-11-01,Main,Consumption AI,Demographic,285857
DMPA-IM,2024-11-01,Main,Consumption AI,Consumption LMIS,NA
DMPA-IM,2024-12-01,Main,Consumption AI,Actual Consumption,202942
DMPA-IM,2024-12-01,Main,Consumption AI,Service Excel,214937
DMPA-IM,2024-12-01,Main,Consumption AI,Service AI,212123
DMPA-IM,2024-12-01,Main,Consumption AI,Consumption Excel,210286
DMPA-IM,2024-12-01,Main,Consumption AI,Consumption AI,201541
DMPA-IM,2024-12-01,Main,Consumption AI,Demographic,285857
DMPA-IM,2024-12-01,Main,Consumption AI,Consumption LMIS,NA
DMPA-IM,2025-01-01,Main,Consumption AI,Actual Consumption,212054
DMPA-IM,2025-01-01,Main,Consumption AI,Service Excel,214937
DMPA-IM,2025-01-01,Main,Consumption AI,Service AI,212123
DMPA-IM,2025-01-01,Main,Consumption AI,Consumption Excel,210286
DMPA-IM,2025-01-01,Main,Consumption AI,Consumption AI,201541
DMPA-IM,2025-01-01,Main,Consumption AI,Demographic,285857
DMPA-IM,2025-01-01,Main,Consumption AI,Consumption LMIS,NA
DMPA-IM,2025-02-01,Main,Consumption AI,Actual Consumption,183451
DMPA-IM,2025-02-01,Main,Consumption AI,Service Excel,214937
DMPA-IM,2025-02-01,Main,Consumption AI,Service AI,212123
DMPA-IM,2025-02-01,Main,Consumption AI,Consumption Excel,210286
DMPA-IM,2025-02-01,Main,Consumption AI,Consumption AI,201541
DMPA-IM,2025-02-01,Main,Consumption AI,Demographic,285857
DMPA-IM,2025-02-01,Main,Consumption AI,Consumption LMIS,NA
DMPA-IM,2025-03-01,Main,Consumption AI,Actual Consumption,175516
DMPA-IM,2025-03-01,Main,Consumption AI,Service Excel,214937
DMPA-IM,2025-03-01,Main,Consumption AI,Service AI,212123
DMPA-IM,2025-03-01,Main,Consumption AI,Consumption Excel,210286
DMPA-IM,2025-03-01,Main,Consumption AI,Consumption AI,201541
DMPA-IM,2025-03-01,Main,Consumption AI,Demographic,285857
DMPA-IM,2025-03-01,Main,Consumption AI,Consumption LMIS,NA
DMPA-IM,2025-04-01,Main,Consumption AI,Actual Consumption,207478
DMPA-IM,2025-04-01,Main,Consumption AI,Service Excel,214937
DMPA-IM,2025-04-01,Main,Consumption AI,Service AI,212123
DMPA-IM,2025-04-01,Main,Consumption AI,Consumption Excel,210286
DMPA-IM,2025-04-01,Main,Consumption AI,Consumption AI,201541
DMPA-IM,2025-04-01,Main,Consumption AI,Demographic,285857
DMPA-IM,2025-04-01,Main,Consumption AI,Consumption LMIS,NA
DMPA-IM,2025-05-01,Main,Consumption AI,Actual Consumption,208829
DMPA-IM,2025-05-01,Main,Consumption AI,Service Excel,214937
DMPA-IM,2025-05-01,Main,Consumption AI,Service AI,212123
DMPA-IM,2025-05-01,Main,Consumption AI,Consumption Excel,210286
DMPA-IM,2025-05-01,Main,Consumption AI,Consumption AI,201541
DMPA-IM,2025-05-01,Main,Consumption AI,Demographic,285857
DMPA-IM,2025-05-01,Main,Consumption AI,Consumption LMIS,NA
DMPA-IM,2025-06-01,Main,Consumption AI,Actual Consumption,171417
DMPA-IM,2025-06-01,Main,Consumption AI,Service Excel,214937
DMPA-IM,2025-06-01,Main,Consumption AI,Service AI,212123
DMPA-IM,2025-06-01,Main,Consumption AI,Consumption Excel,210286
DMPA-IM,2025-06-01,Main,Consumption AI,Consumption AI,201541
DMPA-IM,2025-06-01,Main,Consumption AI,Demographic,285857
DMPA-IM,2025-06-01,Main,Consumption AI,Consumption LMIS,NA
DMPA-IM,2024-07-01,Review,Consumption AI,Actual Consumption,228424
DMPA-IM,2024-07-01,Review,Consumption AI,Service Excel,215298
DMPA-IM,2024-07-01,Review,Consumption AI,Service AI,201541
DMPA-IM,2024-07-01,Review,Consumption AI,Consumption Excel,209089
DMPA-IM,2024-07-01,Review,Consumption AI,Consumption AI,208949
DMPA-IM,2024-07-01,Review,Consumption AI,Demographic,267306
DMPA-IM,2024-07-01,Review,Consumption AI,Consumption LMIS,NA
DMPA-IM,2024-08-01,Review,Consumption AI,Actual Consumption,216668
DMPA-IM,2024-08-01,Review,Consumption AI,Service Excel,215298
DMPA-IM,2024-08-01,Review,Consumption AI,Service AI,201541
DMPA-IM,2024-08-01,Review,Consumption AI,Consumption Excel,209089
DMPA-IM,2024-08-01,Review,Consumption AI,Consumption AI,208949
DMPA-IM,2024-08-01,Review,Consumption AI,Demographic,267306
DMPA-IM,2024-08-01,Review,Consumption AI,Consumption LMIS,NA
DMPA-IM,2024-09-01,Review,Consumption AI,Actual Consumption,210510
DMPA-IM,2024-09-01,Review,Consumption AI,Service Excel,215298
DMPA-IM,2024-09-01,Review,Consumption AI,Service AI,201541
DMPA-IM,2024-09-01,Review,Consumption AI,Consumption Excel,209089
DMPA-IM,2024-09-01,Review,Consumption AI,Consumption AI,208949
DMPA-IM,2024-09-01,Review,Consumption AI,Demographic,267306
DMPA-IM,2024-09-01,Review,Consumption AI,Consumption LMIS,NA
DMPA-IM,2024-10-01,Review,Consumption AI,Actual Consumption,218819
DMPA-IM,2024-10-01,Review,Consumption AI,Service Excel,215298
DMPA-IM,2024-10-01,Review,Consumption AI,Service AI,201541
DMPA-IM,2024-10-01,Review,Consumption AI,Consumption Excel,209089
DMPA-IM,2024-10-01,Review,Consumption AI,Consumption AI,208949
DMPA-IM,2024-10-01,Review,Consumption AI,Demographic,267306
DMPA-IM,2024-10-01,Review,Consumption AI,Consumption LMIS,NA
DMPA-IM,2024-11-01,Review,Consumption AI,Actual Consumption,207141
DMPA-IM,2024-11-01,Review,Consumption AI,Service Excel,215298
DMPA-IM,2024-11-01,Review,Consumption AI,Service AI,201541
DMPA-IM,2024-11-01,Review,Consumption AI,Consumption Excel,209089
DMPA-IM,2024-11-01,Review,Consumption AI,Consumption AI,208949
DMPA-IM,2024-11-01,Review,Consumption AI,Demographic,267306
DMPA-IM,2024-11-01,Review,Consumption AI,Consumption LMIS,NA
DMPA-IM,2024-12-01,Review,Consumption AI,Actual Consumption,202942
DMPA-IM,2024-12-01,Review,Consumption AI,Service Excel,215298
DMPA-IM,2024-12-01,Review,Consumption AI,Service AI,201541
DMPA-IM,2024-12-01,Review,Consumption AI,Consumption Excel,209089
DMPA-IM,2024-12-01,Review,Consumption AI,Consumption AI,208949
DMPA-IM,2024-12-01,Review,Consumption AI,Demographic,267306
DMPA-IM,2024-12-01,Review,Consumption AI,Consumption LMIS,NA
DMPA-IM,2025-01-01,Review,Consumption AI,Actual Consumption,212054
DMPA-IM,2025-01-01,Review,Consumption AI,Service Excel,215298
DMPA-IM,2025-01-01,Review,Consumption AI,Service AI,201541
DMPA-IM,2025-01-01,Review,Consumption AI,Consumption Excel,209089
DMPA-IM,2025-01-01,Review,Consumption AI,Consumption AI,208949
DMPA-IM,2025-01-01,Review,Consumption AI,Demographic,267306
DMPA-IM,2025-01-01,Review,Consumption AI,Consumption LMIS,NA
DMPA-IM,2025-02-01,Review,Consumption AI,Actual Consumption,183451
DMPA-IM,2025-02-01,Review,Consumption AI,Service Excel,215298
DMPA-IM,2025-02-01,Review,Consumption AI,Service AI,201541
DMPA-IM,2025-02-01,Review,Consumption AI,Consumption Excel,209089
DMPA-IM,2025-02-01,Review,Consumption AI,Consumption AI,208949
DMPA-IM,2025-02-01,Review,Consumption AI,Demographic,267306
DMPA-IM,2025-02-01,Review,Consumption AI,Consumption LMIS,NA
DMPA-IM,2025-03-01,Review,Consumption AI,Actual Consumption,175516
DMPA-IM,2025-03-01,Review,Consumption AI,Service Excel,215298
DMPA-IM,2025-03-01,Review,Consumption AI,Service AI,201541
DMPA-IM,2025-03-01,Review,Consumption AI,Consumption Excel,209089
DMPA-IM,2025-03-01,Review,Consumption AI,Consumption AI,208949
DMPA-IM,2025-03-01,Review,Consumption AI,Demographic,267306
DMPA-IM,2025-03-01,Review,Consumption AI,Consumption LMIS,NA
DMPA-IM,2025-04-01,Review,Consumption AI,Actual Consumption,207478
DMPA-IM,2025-04-01,Review,Consumption AI,Service Excel,215298
DMPA-IM,2025-04-01,Review,Consumption AI,Service AI,201541
DMPA-IM,2025-04-01,Review,Consumption AI,Consumption Excel,209089
DMPA-IM,2025-04-01,Review,Consumption AI,Consumption AI,208949
DMPA-IM,2025-04-01,Review,Consumption AI,Demographic,267306
DMPA-IM,2025-04-01,Review,Consumption AI,Consumption LMIS,NA
DMPA-IM,2025-05-01,Review,Consumption AI,Actual Consumption,208829
DMPA-IM,2025-05-01,Review,Consumption AI,Service Excel,215298
DMPA-IM,2025-05-01,Review,Consumption AI,Service AI,201541
DMPA-IM,2025-05-01,Review,Consumption AI,Consumption Excel,209089
DMPA-IM,2025-05-01,Review,Consumption AI,Consumption AI,208949
DMPA-IM,2025-05-01,Review,Consumption AI,Demographic,267306
DMPA-IM,2025-05-01,Review,Consumption AI,Consumption LMIS,NA
DMPA-IM,2025-06-01,Review,Consumption AI,Actual Consumption,171417
DMPA-IM,2025-06-01,Review,Consumption AI,Service Excel,215298
DMPA-IM,2025-06-01,Review,Consumption AI,Service AI,201541
DMPA-IM,2025-06-01,Review,Consumption AI,Consumption Excel,209089
DMPA-IM,2025-06-01,Review,Consumption AI,Consumption AI,208949
DMPA-IM,2025-06-01,Review,Consumption AI,Demographic,267306
DMPA-IM,2025-06-01,Review,Consumption AI,Consumption LMIS,NA
DMPA-IM,2025-07-01,Main,Consumption LMIS,Actual Consumption,168495
DMPA-IM,2025-07-01,Main,Consumption LMIS,Service Excel,NA
DMPA-IM,2025-07-01,Main,Consumption LMIS,Service AI,207438
DMPA-IM,2025-07-01,Main,Consumption LMIS,Consumption Excel,NA
DMPA-IM,2025-07-01,Main,Consumption LMIS,Consumption AI,196283
DMPA-IM,2025-07-01,Main,Consumption LMIS,Demographic,300929
DMPA-IM,2025-07-01,Main,Consumption LMIS,Consumption LMIS,216901
DMPA-IM,2025-08-01,Main,Consumption LMIS,Actual Consumption,157588
DMPA-IM,2025-08-01,Main,Consumption LMIS,Service Excel,NA
DMPA-IM,2025-08-01,Main,Consumption LMIS,Service AI,207727
DMPA-IM,2025-08-01,Main,Consumption LMIS,Consumption Excel,NA
DMPA-IM,2025-08-01,Main,Consumption LMIS,Consumption AI,199207
DMPA-IM,2025-08-01,Main,Consumption LMIS,Demographic,300929
DMPA-IM,2025-08-01,Main,Consumption LMIS,Consumption LMIS,216901
DMPA-IM,2025-09-01,Main,Consumption LMIS,Actual Consumption,172675
DMPA-IM,2025-09-01,Main,Consumption LMIS,Service Excel,NA
DMPA-IM,2025-09-01,Main,Consumption LMIS,Service AI,211920
DMPA-IM,2025-09-01,Main,Consumption LMIS,Consumption Excel,NA
DMPA-IM,2025-09-01,Main,Consumption LMIS,Consumption AI,203443
DMPA-IM,2025-09-01,Main,Consumption LMIS,Demographic,300929
DMPA-IM,2025-09-01,Main,Consumption LMIS,Consumption LMIS,216901
DMPA-IM,2025-10-01,Main,Consumption LMIS,Actual Consumption,158161
DMPA-IM,2025-10-01,Main,Consumption LMIS,Service Excel,NA
DMPA-IM,2025-10-01,Main,Consumption LMIS,Service AI,209605
DMPA-IM,2025-10-01,Main,Consumption LMIS,Consumption Excel,NA
DMPA-IM,2025-10-01,Main,Consumption LMIS,Consumption AI,201357
DMPA-IM,2025-10-01,Main,Consumption LMIS,Demographic,300929
DMPA-IM,2025-10-01,Main,Consumption LMIS,Consumption LMIS,216901
DMPA-IM,2025-11-01,Main,Consumption LMIS,Actual Consumption,143186
DMPA-IM,2025-11-01,Main,Consumption LMIS,Service Excel,NA
DMPA-IM,2025-11-01,Main,Consumption LMIS,Service AI,206846
DMPA-IM,2025-11-01,Main,Consumption LMIS,Consumption Excel,NA
DMPA-IM,2025-11-01,Main,Consumption LMIS,Consumption AI,198469
DMPA-IM,2025-11-01,Main,Consumption LMIS,Demographic,300929
DMPA-IM,2025-11-01,Main,Consumption LMIS,Consumption LMIS,216901
DMPA-IM,2025-12-01,Main,Consumption LMIS,Actual Consumption,126777
DMPA-IM,2025-12-01,Main,Consumption LMIS,Service Excel,NA
DMPA-IM,2025-12-01,Main,Consumption LMIS,Service AI,212060
DMPA-IM,2025-12-01,Main,Consumption LMIS,Consumption Excel,NA
DMPA-IM,2025-12-01,Main,Consumption LMIS,Consumption AI,204791
DMPA-IM,2025-12-01,Main,Consumption LMIS,Demographic,300929
DMPA-IM,2025-12-01,Main,Consumption LMIS,Consumption LMIS,216901
DMPA-IM,2026-01-01,Main,Consumption LMIS,Actual Consumption,116237
DMPA-IM,2026-01-01,Main,Consumption LMIS,Service Excel,NA
DMPA-IM,2026-01-01,Main,Consumption LMIS,Service AI,214110
DMPA-IM,2026-01-01,Main,Consumption LMIS,Consumption Excel,NA
DMPA-IM,2026-01-01,Main,Consumption LMIS,Consumption AI,198416
DMPA-IM,2026-01-01,Main,Consumption LMIS,Demographic,300929
DMPA-IM,2026-01-01,Main,Consumption LMIS,Consumption LMIS,216901
DMPA-IM,2026-02-01,Main,Consumption LMIS,Actual Consumption,102886
DMPA-IM,2026-02-01,Main,Consumption LMIS,Service Excel,NA
DMPA-IM,2026-02-01,Main,Consumption LMIS,Service AI,203448
DMPA-IM,2026-02-01,Main,Consumption LMIS,Consumption Excel,NA
DMPA-IM,2026-02-01,Main,Consumption LMIS,Consumption AI,188675
DMPA-IM,2026-02-01,Main,Consumption LMIS,Demographic,300929
DMPA-IM,2026-02-01,Main,Consumption LMIS,Consumption LMIS,216901
DMPA-IM,2026-03-01,Main,Consumption LMIS,Actual Consumption,96086
DMPA-IM,2026-03-01,Main,Consumption LMIS,Service Excel,NA
DMPA-IM,2026-03-01,Main,Consumption LMIS,Service AI,199631
DMPA-IM,2026-03-01,Main,Consumption LMIS,Consumption Excel,NA
DMPA-IM,2026-03-01,Main,Consumption LMIS,Consumption AI,189329
DMPA-IM,2026-03-01,Main,Consumption LMIS,Demographic,300929
DMPA-IM,2026-03-01,Main,Consumption LMIS,Consumption LMIS,216901
DMPA-IM,2026-04-01,Main,Consumption LMIS,Actual Consumption,88918
DMPA-IM,2026-04-01,Main,Consumption LMIS,Service Excel,NA
DMPA-IM,2026-04-01,Main,Consumption LMIS,Service AI,208776
DMPA-IM,2026-04-01,Main,Consumption LMIS,Consumption Excel,NA
DMPA-IM,2026-04-01,Main,Consumption LMIS,Consumption AI,198266
DMPA-IM,2026-04-01,Main,Consumption LMIS,Demographic,300929
DMPA-IM,2026-04-01,Main,Consumption LMIS,Consumption LMIS,216901
DMPA-IM,2026-05-01,Main,Consumption LMIS,Actual Consumption,75764
DMPA-IM,2026-05-01,Main,Consumption LMIS,Service Excel,NA
DMPA-IM,2026-05-01,Main,Consumption LMIS,Service AI,205153
DMPA-IM,2026-05-01,Main,Consumption LMIS,Consumption Excel,NA
DMPA-IM,2026-05-01,Main,Consumption LMIS,Consumption AI,197448
DMPA-IM,2026-05-01,Main,Consumption LMIS,Demographic,300929
DMPA-IM,2026-05-01,Main,Consumption LMIS,Consumption LMIS,216901
DMPA-IM,2026-06-01,Main,Consumption LMIS,Actual Consumption,71933
DMPA-IM,2026-06-01,Main,Consumption LMIS,Service Excel,NA
DMPA-IM,2026-06-01,Main,Consumption LMIS,Service AI,207711
DMPA-IM,2026-06-01,Main,Consumption LMIS,Consumption Excel,NA
DMPA-IM,2026-06-01,Main,Consumption LMIS,Consumption AI,195918
DMPA-IM,2026-06-01,Main,Consumption LMIS,Demographic,300929
DMPA-IM,2026-06-01,Main,Consumption LMIS,Consumption LMIS,216901
DMPA-SC,2023-07-01,Main,Demographic,Actual Consumption,18663
DMPA-SC,2023-07-01,Main,Demographic,Service Excel,4301
DMPA-SC,2023-07-01,Main,Demographic,Service AI,5145
DMPA-SC,2023-07-01,Main,Demographic,Consumption Excel,2141
DMPA-SC,2023-07-01,Main,Demographic,Consumption AI,1976
DMPA-SC,2023-07-01,Main,Demographic,Demographic,71888
DMPA-SC,2023-07-01,Main,Demographic,Consumption LMIS,NA
DMPA-SC,2023-08-01,Main,Demographic,Actual Consumption,24493
DMPA-SC,2023-08-01,Main,Demographic,Service Excel,4301
DMPA-SC,2023-08-01,Main,Demographic,Service AI,5231
DMPA-SC,2023-08-01,Main,Demographic,Consumption Excel,2141
DMPA-SC,2023-08-01,Main,Demographic,Consumption AI,2040
DMPA-SC,2023-08-01,Main,Demographic,Demographic,71888
DMPA-SC,2023-08-01,Main,Demographic,Consumption LMIS,NA
DMPA-SC,2023-09-01,Main,Demographic,Actual Consumption,29549
DMPA-SC,2023-09-01,Main,Demographic,Service Excel,4301
DMPA-SC,2023-09-01,Main,Demographic,Service AI,5320
DMPA-SC,2023-09-01,Main,Demographic,Consumption Excel,2141
DMPA-SC,2023-09-01,Main,Demographic,Consumption AI,2087
DMPA-SC,2023-09-01,Main,Demographic,Demographic,71888
DMPA-SC,2023-09-01,Main,Demographic,Consumption LMIS,NA
DMPA-SC,2023-10-01,Main,Demographic,Actual Consumption,33595
DMPA-SC,2023-10-01,Main,Demographic,Service Excel,4301
DMPA-SC,2023-10-01,Main,Demographic,Service AI,5406
DMPA-SC,2023-10-01,Main,Demographic,Consumption Excel,2141
DMPA-SC,2023-10-01,Main,Demographic,Consumption AI,2100
DMPA-SC,2023-10-01,Main,Demographic,Demographic,71888
DMPA-SC,2023-10-01,Main,Demographic,Consumption LMIS,NA
DMPA-SC,2023-11-01,Main,Demographic,Actual Consumption,36336
DMPA-SC,2023-11-01,Main,Demographic,Service Excel,4301
DMPA-SC,2023-11-01,Main,Demographic,Service AI,5495
DMPA-SC,2023-11-01,Main,Demographic,Consumption Excel,2141
DMPA-SC,2023-11-01,Main,Demographic,Consumption AI,2184
DMPA-SC,2023-11-01,Main,Demographic,Demographic,71888
DMPA-SC,2023-11-01,Main,Demographic,Consumption LMIS,NA
DMPA-SC,2023-12-01,Main,Demographic,Actual Consumption,37892
DMPA-SC,2023-12-01,Main,Demographic,Service Excel,4301
DMPA-SC,2023-12-01,Main,Demographic,Service AI,5584
DMPA-SC,2023-12-01,Main,Demographic,Consumption Excel,2141
DMPA-SC,2023-12-01,Main,Demographic,Consumption AI,2222
DMPA-SC,2023-12-01,Main,Demographic,Demographic,71888
DMPA-SC,2023-12-01,Main,Demographic,Consumption LMIS,NA
DMPA-SC,2024-01-01,Main,Demographic,Actual Consumption,48538
DMPA-SC,2024-01-01,Main,Demographic,Service Excel,4301
DMPA-SC,2024-01-01,Main,Demographic,Service AI,5670
DMPA-SC,2024-01-01,Main,Demographic,Consumption Excel,2141
DMPA-SC,2024-01-01,Main,Demographic,Consumption AI,2275
DMPA-SC,2024-01-01,Main,Demographic,Demographic,71888
DMPA-SC,2024-01-01,Main,Demographic,Consumption LMIS,NA
DMPA-SC,2024-02-01,Main,Demographic,Actual Consumption,46835
DMPA-SC,2024-02-01,Main,Demographic,Service Excel,4301
DMPA-SC,2024-02-01,Main,Demographic,Service AI,5759
DMPA-SC,2024-02-01,Main,Demographic,Consumption Excel,2141
DMPA-SC,2024-02-01,Main,Demographic,Consumption AI,2349
DMPA-SC,2024-02-01,Main,Demographic,Demographic,71888
DMPA-SC,2024-02-01,Main,Demographic,Consumption LMIS,NA
DMPA-SC,2024-03-01,Main,Demographic,Actual Consumption,43184
DMPA-SC,2024-03-01,Main,Demographic,Service Excel,4301
DMPA-SC,2024-03-01,Main,Demographic,Service AI,5845
DMPA-SC,2024-03-01,Main,Demographic,Consumption Excel,2141
DMPA-SC,2024-03-01,Main,Demographic,Consumption AI,2402
DMPA-SC,2024-03-01,Main,Demographic,Demographic,71888
DMPA-SC,2024-03-01,Main,Demographic,Consumption LMIS,NA
DMPA-SC,2024-04-01,Main,Demographic,Actual Consumption,42977
DMPA-SC,2024-04-01,Main,Demographic,Service Excel,4301
DMPA-SC,2024-04-01,Main,Demographic,Service AI,5934
DMPA-SC,2024-04-01,Main,Demographic,Consumption Excel,2141
DMPA-SC,2024-04-01,Main,Demographic,Consumption AI,2438
DMPA-SC,2024-04-01,Main,Demographic,Demographic,71888
DMPA-SC,2024-04-01,Main,Demographic,Consumption LMIS,NA
DMPA-SC,2024-05-01,Main,Demographic,Actual Consumption,49097
DMPA-SC,2024-05-01,Main,Demographic,Service Excel,4301
DMPA-SC,2024-05-01,Main,Demographic,Service AI,6023
DMPA-SC,2024-05-01,Main,Demographic,Consumption Excel,2141
DMPA-SC,2024-05-01,Main,Demographic,Consumption AI,2496
DMPA-SC,2024-05-01,Main,Demographic,Demographic,71888
DMPA-SC,2024-05-01,Main,Demographic,Consumption LMIS,NA
DMPA-SC,2024-06-01,Main,Demographic,Actual Consumption,47927
DMPA-SC,2024-06-01,Main,Demographic,Service Excel,4301
DMPA-SC,2024-06-01,Main,Demographic,Service AI,6106
DMPA-SC,2024-06-01,Main,Demographic,Consumption Excel,2141
DMPA-SC,2024-06-01,Main,Demographic,Consumption AI,2555
DMPA-SC,2024-06-01,Main,Demographic,Demographic,71888
